Year,Country ,Country Code,Medal Type,Medals
2008,Afghanistan,AFG,Bronze,1
2012,Afghanistan,AFG,Bronze,1
1956,Afghanistan,AFG,No Medal,1
2016,United Arab Emirates,ARE,Bronze,1
2004,United Arab Emirates,ARE,Gold,1
1928,Argentina,ARG,Bronze,1
1948,Argentina,ARG,Bronze,1
1956,Argentina,ARG,Bronze,1
1960,Argentina,ARG,Bronze,1
1988,Argentina,ARG,Bronze,1
1992,Argentina,ARG,Bronze,1
1996,Argentina,ARG,Bronze,1
1924,Argentina,ARG,Gold,1
1952,Argentina,ARG,Gold,1
2012,Argentina,ARG,Gold,1
1900,Argentina,ARG,No Medal,1
1908,Argentina,ARG,No Medal,1
1920,Argentina,ARG,No Medal,1
1932,Argentina,ARG,Silver,1
1956,Argentina,ARG,Silver,1
1960,Argentina,ARG,Silver,1
1964,Argentina,ARG,Silver,1
1972,Argentina,ARG,Silver,1
1988,Argentina,ARG,Silver,1
2012,Argentina,ARG,Silver,1
2016,Argentina,ARG,Silver,1
2000,Armenia,ARM,Bronze,1
1996,Armenia,ARM,Gold,1
2016,Armenia,ARM,Gold,1
1994,Armenia,ARM,No Medal,1
1996,Armenia,ARM,Silver,1
2012,Armenia,ARM,Silver,1
1994,American Samoa,ASM,No Medal,1
1896,Australia,AUS,Bronze,1
1904,Australia,AUS,Bronze,1
1920,Australia,AUS,Bronze,1
1928,Australia,AUS,Bronze,1
1932,Australia,AUS,Bronze,1
1936,Australia,AUS,Bronze,1
1994,Australia,AUS,Bronze,1
1998,Australia,AUS,Bronze,1
2006,Australia,AUS,Bronze,1
2014,Australia,AUS,Bronze,1
1908,Australia,AUS,Gold,1
1928,Australia,AUS,Gold,1
2006,Australia,AUS,Gold,1
1924,Australia,AUS,Silver,1
1932,Australia,AUS,Silver,1
1976,Australia,AUS,Silver,1
2010,Australia,AUS,Silver,1
1904,Austria,AUT,Bronze,1
1908,Austria,AUT,Bronze,1
1924,Austria,AUT,Bronze,1
2004,Austria,AUT,Bronze,1
2016,Austria,AUT,Bronze,1
1972,Austria,AUT,Gold,1
1984,Austria,AUT,Gold,1
1896,Austria,AUT,Silver,1
1904,Austria,AUT,Silver,1
1984,Austria,AUT,Silver,1
1996,Austria,AUT,Silver,1
2000,Austria,AUT,Silver,1
2008,Austria,AUT,Silver,1
2000,Azerbaijan,AZE,Bronze,1
2004,Azerbaijan,AZE,Gold,1
2008,Azerbaijan,AZE,Gold,1
2016,Azerbaijan,AZE,Gold,1
2006,Azerbaijan,AZE,No Medal,1
1996,Azerbaijan,AZE,Silver,1
1996,Burundi,BDI,Gold,1
2016,Burundi,BDI,Silver,1
1932,Belgium,BEL,Bronze,1
1964,Belgium,BEL,Bronze,1
1968,Belgium,BEL,Bronze,1
1998,Belgium,BEL,Bronze,1
1908,Belgium,BEL,Gold,1
1980,Belgium,BEL,Gold,1
1984,Belgium,BEL,Gold,1
2004,Belgium,BEL,Gold,1
2008,Belgium,BEL,Gold,1
1912,Belgium,BEL,Silver,1
1928,Belgium,BEL,Silver,1
1968,Belgium,BEL,Silver,1
1984,Belgium,BEL,Silver,1
1992,Belgium,BEL,Silver,1
2008,Belgium,BEL,Silver,1
2012,Belgium,BEL,Silver,1
1972,Burkina Faso,BFA,No Medal,1
1952,Bulgaria,BGR,Bronze,1
1956,Bulgaria,BGR,Bronze,1
2012,Bulgaria,BGR,Bronze,1
1956,Bulgaria,BGR,Gold,1
1960,Bulgaria,BGR,Gold,1
1998,Bulgaria,BGR,Gold,1
2008,Bulgaria,BGR,Gold,1
1932,Bulgaria,BGR,No Medal,1
2002,Bulgaria,BGR,Silver,1
2004,Bulgaria,BGR,Silver,1
2006,Bulgaria,BGR,Silver,1
2008,Bulgaria,BGR,Silver,1
2012,Bulgaria,BGR,Silver,1
2016,Bulgaria,BGR,Silver,1
2012,Bahrain,BHR,Bronze,1
2016,Bahrain,BHR,Gold,1
2016,Bahrain,BHR,Silver,1
1956,Bahamas,BHS,Bronze,1
1992,Bahamas,BHS,Bronze,1
2000,Bahamas,BHS,Bronze,1
2004,Bahamas,BHS,Bronze,1
2008,Bahamas,BHS,Bronze,1
2016,Bahamas,BHS,Bronze,1
1964,Bahamas,BHS,Gold,1
2004,Bahamas,BHS,Gold,1
2012,Bahamas,BHS,Gold,1
2016,Bahamas,BHS,Gold,1
1996,Bahamas,BHS,Silver,1
2008,Bahamas,BHS,Silver,1
2002,Belarus,BLR,Bronze,1
2010,Belarus,BLR,Bronze,1
2014,Belarus,BLR,Bronze,1
1996,Belarus,BLR,Gold,1
2010,Belarus,BLR,Gold,1
2016,Belarus,BLR,Gold,1
2006,Belarus,BLR,Silver,1
2010,Belarus,BLR,Silver,1
1976,Bermuda,BMU,Bronze,1
1956,Bermuda,BMU,No Medal,1
1994,Bermuda,BMU,No Medal,1
1998,Bermuda,BMU,No Medal,1
2002,Bermuda,BMU,No Medal,1
2006,Bermuda,BMU,No Medal,1
2010,Bermuda,BMU,No Medal,1
2014,Bermuda,BMU,No Medal,1
1964,Boliva,BOL,No Medal,1
1920,Brazil,BRA,Bronze,1
1948,Brazil,BRA,Bronze,1
1964,Brazil,BRA,Bronze,1
1920,Brazil,BRA,Gold,1
1952,Brazil,BRA,Gold,1
1956,Brazil,BRA,Gold,1
1984,Brazil,BRA,Gold,1
1988,Brazil,BRA,Gold,1
1994,Brazil,BRA,No Medal,1
1998,Brazil,BRA,No Medal,1
1920,Brazil,BRA,Silver,1
1968,Brazil,BRA,Silver,1
1992,Brazil,BRA,Silver,1
2000,Barbados,BRB,Bronze,1
2012,Botswana,BWA,Silver,1
1968,Central African Republic,CAF,No Medal,1
1900,Canada,CAN,Bronze,1
1904,Canada,CAN,Bronze,1
1924,Canada,CAN,Bronze,1
1952,Canada,CAN,Bronze,1
1960,Canada,CAN,Bronze,1
1980,Canada,CAN,Bronze,1
1900,Canada,CAN,Gold,1
1906,Canada,CAN,Gold,1
1924,Canada,CAN,Gold,1
1936,Canada,CAN,Gold,1
1976,Canada,CAN,Gold,1
2012,Canada,CAN,Gold,1
1904,Canada,CAN,Silver,1
1906,Canada,CAN,Silver,1
1980,Canada,CAN,Silver,1
2000,Chile,CHL,Bronze,1
2004,Chile,CHL,Bronze,1
1928,Chile,CHL,Silver,1
1988,Chile,CHL,Silver,1
2008,Chile,CHL,Silver,1
1994,China,CHN,Silver,1
1984,Cameroon,CMR,Bronze,1
2000,Cameroon,CMR,Gold,1
2004,Cameroon,CMR,Gold,1
2008,Cameroon,CMR,Gold,1
1976,Cameroon,CMR,No Medal,1
1968,Cameroon,CMR,Silver,1
1988,Colombia,COL,Bronze,1
1992,Colombia,COL,Bronze,1
2008,Colombia,COL,Bronze,1
2000,Colombia,COL,Gold,1
2012,Colombia,COL,Gold,1
1900,Colombia,COL,Silver,1
1972,Colombia,COL,Silver,1
1984,Colombia,COL,Silver,1
2008,Colombia,COL,Silver,1
1996,Costa Rica,CRI,Gold,1
1936,Costa Rica,CRI,No Medal,1
1964,Costa Rica,CRI,No Medal,1
2006,Costa Rica,CRI,No Medal,1
1988,Costa Rica,CRI,Silver,1
1900,Cuba,CUB,Gold,1
1904,Cuba,CUB,No Medal,1
1928,Cuba,CUB,No Medal,1
1932,Cuba,CUB,No Medal,1
1900,Cuba,CUB,Silver,1
1948,Cuba,CUB,Silver,1
1964,Cuba,CUB,Silver,1
1972,Cuba,CUB,Silver,1
1952,Curacao,CUW,No Medal,1
1988,Curacao,CUW,Silver,1
1976,Cayman Islands,CYM,No Medal,1
2010,Cayman Islands,CYM,No Medal,1
1994,Cyprus,CYP,No Medal,1
1998,Cyprus,CYP,No Medal,1
2012,Cyprus,CYP,Silver,1
1936,Czech Republic,CZE,Bronze,1
1956,Czech Republic,CZE,Bronze,1
1998,Czech Republic,CZE,Bronze,1
2006,Czech Republic,CZE,Bronze,1
1924,Czech Republic,CZE,Gold,1
1932,Czech Republic,CZE,Gold,1
1956,Czech Republic,CZE,Gold,1
1998,Czech Republic,CZE,Gold,1
2002,Czech Republic,CZE,Gold,1
2004,Czech Republic,CZE,Gold,1
2006,Czech Republic,CZE,Gold,1
2016,Czech Republic,CZE,Gold,1
1900,Czech Republic,CZE,Silver,1
1998,Czech Republic,CZE,Silver,1
1900,Germany,DEU,Bronze,1
1988,Djibouti,DJI,Bronze,1
1984,Djibouti,DJI,No Medal,1
2014,Dominica,DMA,No Medal,1
1906,Denmark,DNK,Bronze,1
1920,Denmark,DNK,Bronze,1
1956,Denmark,DNK,Bronze,1
1960,Denmark,DNK,Bronze,1
1988,Denmark,DNK,Bronze,1
1996,Denmark,DNK,Bronze,1
2000,Denmark,DNK,Bronze,1
1896,Denmark,DNK,Gold,1
1912,Denmark,DNK,Gold,1
1956,Denmark,DNK,Gold,1
1968,Denmark,DNK,Gold,1
1972,Denmark,DNK,Gold,1
1976,Denmark,DNK,Gold,1
1992,Denmark,DNK,Gold,1
2006,Denmark,DNK,No Medal,1
1952,Denmark,DNK,Silver,1
1964,Denmark,DNK,Silver,1
1980,Denmark,DNK,Silver,1
1988,Denmark,DNK,Silver,1
1992,Denmark,DNK,Silver,1
1996,Denmark,DNK,Silver,1
1998,Denmark,DNK,Silver,1
2004,Denmark,DNK,Silver,1
1984,Dominican Republic,DOM,Bronze,1
2016,Dominican Republic,DOM,Bronze,1
2004,Dominican Republic,DOM,Gold,1
2008,Dominican Republic,DOM,Gold,1
2012,Dominican Republic,DOM,Gold,1
1964,Dominican Republic,DOM,No Medal,1
2008,Dominican Republic,DOM,Silver,1
2012,Dominican Republic,DOM,Silver,1
1992,Algeria,DZA,Bronze,1
1996,Algeria,DZA,Bronze,1
2008,Algeria,DZA,Bronze,1
1992,Algeria,DZA,Gold,1
2000,Algeria,DZA,Gold,1
2012,Algeria,DZA,Gold,1
2010,Algeria,DZA,No Medal,1
2000,Algeria,DZA,Silver,1
2008,Algeria,DZA,Silver,1
1996,Ecuador,ECU,Gold,1
2008,Ecuador,ECU,Silver,1
1928,Egypt,EGY,Bronze,1
1948,Egypt,EGY,Bronze,1
1952,Egypt,EGY,Bronze,1
2008,Egypt,EGY,Bronze,1
2004,Egypt,EGY,Gold,1
1928,Egypt,EGY,Silver,1
